Input Size,Run 1,Run 2,Run 3
100,0.000162,0.000127,0.000145
200,0.000809,0.000686,0.000852
300,0.002257,0.001559,0.001803
400,0.003367,0.003706,0.002941
500,0.006079,0.005087,0.004024
600,0.006906,0.006722,0.005247
700,0.013049,0.007818,0.006241
800,0.014000,0.009730,0.007795
900,0.022037,0.010651,0.008783
1000,0.020407,0.012520,0.010470
2000,0.047246,0.036454,0.034981
4000,0.154722,0.152080,0.158585
8000,0.655282,0.654153,0.661958
16000,3.072424,2.647828,2.670104
20000,4.694250,4.124307,4.089124
