Input Size,Run 1,Run 2,Run 3
100,0.000205,0.000171,0.000230
200,0.000701,0.000625,0.000623
300,0.001114,0.001110,0.001030
400,0.001989,0.001843,0.001732
500,0.003038,0.002832,0.002699
600,0.004012,0.003785,0.003578
700,0.005557,0.005074,0.004729
800,0.006367,0.005698,0.005841
900,0.008348,0.007968,0.007410
1000,0.012340,0.011036,0.010819
2000,0.050224,0.049638,0.049638
4000,0.188673,0.181901,0.217238
8000,0.873174,0.863829,0.888459
16000,3.900233,3.622501,3.670993
20000,6.122162,5.992581,5.777489
