n,t,Run 1,Run 2,Run 3,Average,slave_max_run1,slave_max_run2,slave_max_run3,slave_max_ave
4000,2,3.400135,3.400069,3.405655,3.401953,0.089117,0.089853,0.090291,0.089754
4000,4,4.194251,4.202402,4.197504,4.198052,0.060518,0.060019,0.061092,0.060543
4000,8,5.091379,5.094579,5.073479,5.086479,0.032226,0.032235,0.032210,0.032224
4000,16,5.802430,5.652608,5.736509,5.730516,0.033925,0.034138,0.034488,0.034184
8000,2,13.639833,13.652920,13.638212,13.643655,0.468020,0.480480,0.465737,0.471412
8000,4,16.690033,19.779000,16.682956,17.717330,0.241216,0.243340,0.240607,0.241721
8000,8,20.163335,21.311883,20.158394,20.544537,0.141800,0.147818,0.161324,0.150314
8000,16,22.790083,22.708692,22.558865,22.685880,0.120220,0.120574,0.120123,0.120306
16000,2,55.483825,55.481446,54.945983,55.303751,2.814954,2.808637,2.289475,2.637689
16000,4,66.934048,79.918167,68.029515,71.627243,1.154843,1.417078,1.405602,1.325841
16000,8,81.190761,81.182967,79.264052,80.545927,0.715843,0.712663,0.701063,0.709856
16000,16,94.516860,92.432116,92.002197,92.983724,0.534145,0.525160,0.537941,0.532415
